cervical segment of spinal dura mater,RID13749.Anatomy
dura mater of rootlet of spinal nerve,RID13756.Anatomy
dura mater of anterior root of spinal nerve,RID28047.Anatomy
dura mater of posterior root of spinal nerve,RID28143.Anatomy
dura mater of anterior root of cervical nerve,RID28048.Anatomy
dura mater of anterior root of sacral nerve,RID28126.Anatomy
dura mater of anterior root of lumbar nerve,RID28110.Anatomy
dura mater of anterior root of coccygeal nerve,RID28142.Anatomy
dura mater of anterior root of thoracic nerve,RID28073.Anatomy
dura mater of anterior root of fifth cervical nerve,RID28061.Anatomy
dura mater of anterior root of eighth cervical nerve,RID28070.Anatomy
dura mater of anterior root of first cervical nerve,RID28049.Anatomy
dura mater of anterior root of fourth cervical nerve,RID28058.Anatomy
dura mater of anterior root of third cervical nerve,RID28055.Anatomy
dura mater of anterior root of seventh cervical nerve,RID28067.Anatomy
dura mater of anterior root of sixth cervical nerve,RID28064.Anatomy
dura mater of anterior root of second cervical nerve,RID28052.Anatomy
dura mater of anterior root of right fifth cervical nerve,RID28062.Anatomy
dura mater of anterior root of left fifth cervical nerve,RID28063.Anatomy
dura mater of anterior root of right eighth cervical nerve,RID28071.Anatomy
dura mater of anterior root of left eighth cervical nerve,RID28072.Anatomy
dura mater of anterior root of right first cervical nerve,RID28050.Anatomy
dura mater of anterior root of left first cervical nerve,RID28051.Anatomy
dura mater of anterior root of left fourth cervical nerve,RID28060.Anatomy
dura mater of anterior root of right fourth cervical nerve,RID28059.Anatomy
dura mater of anterior root of left third cervical nerve,RID28057.Anatomy
dura mater of anterior root of right third cervical nerve,RID28056.Anatomy
dura mater of anterior root of right seventh cervical nerve,RID28068.Anatomy
dura mater of anterior root of left seventh cervical nerve,RID28069.Anatomy
dura mater of anterior root of left sixth cervical nerve,RID28066.Anatomy
dura mater of anterior root of right sixth cervical nerve,RID28065.Anatomy
dura mater of anterior root of right second cervical nerve,RID28053.Anatomy
dura mater of anterior root of left second cervical nerve,RID28054.Anatomy
dura mater of anterior root of first sacral nerve,RID28127.Anatomy
dura mater of anterior root of fifth sacral nerve,RID28139.Anatomy
dura mater of anterior root of fourth sacral nerve,RID28136.Anatomy
dura mater of anterior root of third sacral nerve,RID28133.Anatomy
dura mater of anterior root of second sacral nerve,RID28130.Anatomy
dura mater of anterior root of left first sacral nerve,RID28129.Anatomy
dura mater of anterior root of right first sacral nerve,RID28128.Anatomy
dura mater of anterior root of left fifth sacral nerve,RID28141.Anatomy
dura mater of anterior root of right fifth sacral nerve,RID28140.Anatomy
dura mater of anterior root of left fourth sacral nerve,RID28138.Anatomy
dura mater of anterior root of right fourth sacral nerve,RID28137.Anatomy
dura mater of anterior root of right third sacral nerve,RID28134.Anatomy
dura mater of anterior root of left third sacral nerve,RID28135.Anatomy
dura mater of anterior root of left second sacral nerve,RID28132.Anatomy
dura mater of anterior root of right second sacral nerve,RID28131.Anatomy
dura mater of anterior root of third lumbar nerve,RID28117.Anatomy
dura mater of anterior root of second lumbar nerve,RID28114.Anatomy
dura mater of anterior root of fifth lumbar nerve,RID28123.Anatomy
dura mater of anterior root of first lumbar nerve,RID28111.Anatomy
dura mater of anterior root of fourth lumbar nerve,RID28120.Anatomy
dura mater of anterior root of right third lumbar nerve,RID28118.Anatomy
dura mater of anterior root of left third lumbar nerve,RID28119.Anatomy
dura mater of anterior root of left second lumbar nerve,RID28116.Anatomy
dura mater of anterior root of right second lumbar nerve,RID28115.Anatomy
dura mater of anterior root of left fifth lumbar nerve,RID28125.Anatomy
dura mater of anterior root of right fifth lumbar nerve,RID28124.Anatomy
dura mater of anterior root of right first lumbar nerve,RID28112.Anatomy
dura mater of anterior root of left first lumbar nerve,RID28113.Anatomy
dura mater of anterior root of right fourth lumbar nerve,RID28121.Anatomy
dura mater of anterior root of left fourth lumbar nerve,RID28122.Anatomy
dura mater of anterior root of fourth thoracic nerve,RID28083.Anatomy
dura mater of anterior root of third thoracic nerve,RID28080.Anatomy
dura mater of anterior root of twelfth thoracic nerve,RID28107.Anatomy
dura mater of anterior root of seventh thoracic nerve,RID28092.Anatomy
dura mater of anterior root of eleventh thoracic nerve,RID28104.Anatomy
dura mater of anterior root of tenth thoracic nerve,RID28101.Anatomy
dura mater of anterior root of second thoracic nerve,RID28077.Anatomy
dura mater of anterior root of sixth thoracic nerve,RID28089.Anatomy
dura mater of anterior root of fifth thoracic nerve,RID28086.Anatomy
dura mater of anterior root of ninth thoracic nerve,RID28098.Anatomy
dura mater of anterior root of eighth thoracic nerve,RID28095.Anatomy
dura mater of anterior root of first thoracic nerve,RID28074.Anatomy
dura mater of anterior root of right fourth thoracic nerve,RID28084.Anatomy
dura mater of anterior root of left fourth thoracic nerve,RID28085.Anatomy
dura mater of anterior root of left third thoracic nerve,RID28082.Anatomy
dura mater of anterior root of right third thoracic nerve,RID28081.Anatomy
dura mater of anterior root of left twelfth thoracic nerve,RID28109.Anatomy
dura mater of anterior root of right twelfth thoracic nerve,RID28108.Anatomy
dura mater of anterior root of right seventh thoracic nerve,RID28093.Anatomy
dura mater of anterior root of left seventh thoracic nerve,RID28094.Anatomy
dura mater of anterior root of right eleventh thoracic nerve,RID28105.Anatomy
dura mater of anterior root of left eleventh thoracic nerve,RID28106.Anatomy
dura mater of anterior root of left tenth thoracic nerve,RID28103.Anatomy
dura mater of anterior root of right tenth thoracic nerve,RID28102.Anatomy
dura mater of anterior root of left second thoracic nerve,RID28079.Anatomy
dura mater of anterior root of right second thoracic nerve,RID28078.Anatomy
dura mater of anterior root of left sixth thoracic nerve,RID28091.Anatomy
dura mater of anterior root of right sixth thoracic nerve,RID28090.Anatomy
dura mater of anterior root of left fifth thoracic nerve,RID28088.Anatomy
dura mater of anterior root of right fifth thoracic nerve,RID28087.Anatomy
dura mater of anterior root of right ninth thoracic nerve,RID28099.Anatomy
dura mater of anterior root of left ninth thoracic nerve,RID28100.Anatomy
dura mater of anterior root of left eighth thoracic nerve,RID28097.Anatomy
dura mater of anterior root of right eighth thoracic nerve,RID28096.Anatomy
dura mater of anterior root of right first thoracic nerve,RID28075.Anatomy
dura mater of anterior root of left first thoracic nerve,RID28076.Anatomy
dura mater of posterior root of lumbar nerve,RID28206.Anatomy
dura mater of posterior root of coccygeal nerve,RID28238.Anatomy
dura mater of posterior root of thoracic nerve,RID28169.Anatomy
dura mater of posterior root of sacral nerve,RID28222.Anatomy
dura mater of posterior root of cervical nerve,RID28144.Anatomy
dura mater of posterior root of fifth lumbar nerve,RID28219.Anatomy
dura mater of posterior root of first lumbar nerve,RID28207.Anatomy
dura mater of posterior root of fourth lumbar nerve,RID28216.Anatomy
dura mater of posterior root of third lumbar nerve,RID28213.Anatomy
dura mater of posterior root of second lumbar nerve,RID28210.Anatomy
dura mater of posterior root of right fifth lumbar nerve,RID28220.Anatomy
dura mater of posterior root of left fifth lumbar nerve,RID28221.Anatomy
dura mater of posterior root of right first lumbar nerve,RID28208.Anatomy
dura mater of posterior root of left first lumbar nerve,RID28209.Anatomy
dura mater of posterior root of right fourth lumbar nerve,RID28217.Anatomy
dura mater of posterior root of left fourth lumbar nerve,RID28218.Anatomy
dura mater of posterior root of left third lumbar nerve,RID28215.Anatomy
dura mater of posterior root of right third lumbar nerve,RID28214.Anatomy
dura mater of posterior root of right second lumbar nerve,RID28211.Anatomy
